cycle,status,solve_time_s,position_error_m,attitude_error_rad,joint_error_rad,cost,max_abs_command,max_abs_command_rate,T_cmd,p_cmd,q_cmd,r_cmd,cmd_00,cmd_01,cmd_02,cmd_03,cmd_04,cmd_05,cmd_06,cmd_07,cmd_rate_00,cmd_rate_01,cmd_rate_02,cmd_rate_03,cmd_rate_04,cmd_rate_05,cmd_rate_06,cmd_rate_07
40,0,0.002808863002428552,0.18894650762461815,0.06323588097123721,0.037109405018793354,12.761483358874518,16.87526178878153,0.6562475813495067,16.87526178878153,-0.025197220524687043,0.004431369177944172,5.959477040065009e-05,16.87526178878153,-0.025197220524687043,0.004431369177944172,5.959477040065009e-05,-0.020908651914700812,-0.020908651914700812,-0.020908651914700812,-0.020908651915459278,0.04586900466898921,0.6562475813495067,0.010730882538590598,0.00023048836966635736,0.038773443432021104,0.038773443432021104,0.038773443432021104,0.038773443433912404
41,0,0.002599003000796074,0.19268538512001426,0.06554585404890655,0.03582991464143927,12.741449646307794,16.876006759020665,0.6458551166390252,16.876006759020665,-0.012280118191906532,0.004627134934948774,6.434344221551683e-05,16.876006759020665,-0.012280118191906532,0.004627134934948774,6.434344221551683e-05,-0.020170110657345357,-0.020170110657345357,-0.020170110657345357,-0.020170110658068157,0.03724851195658191,0.6458551166390252,0.009788287850230115,0.00023743359074333614,0.036927062867772746,0.036927062867772746,0.036927062867772746,0.0369270628695559
42,0,0.002491023002221482,0.1961817171828888,0.0675982851156829,0.0345962159914199,12.719652297419497,16.876584825084105,0.6337734792532442,16.876584825084105,0.00039535139315835326,0.004803920014618067,6.919802825701505e-05,16.876584825084105,0.00039535139315835326,0.004803920014618067,6.919802825701505e-05,-0.019465408879414874,-0.019465408879414874,-0.019465408879414874,-0.019465408880104132,0.0289033031718847,0.6337734792532442,0.008839253983464598,0.00024272930207491121,0.03523508889652406,0.03523508889652406,0.03523508889652406,0.03523508889820132
43,0,0.002716979997785529,0.19942592961143085,0.06939235451822111,0.033406667627336496,12.695211732493874,16.877003036152086,0.6200652345862039,16.877003036152086,0.01279665608488243,0.004961645822583752,7.412414283435593e-05,16.877003036152086,0.01279665608488243,0.004961645822583752,7.412414283435593e-05,-0.018791789905707137,-0.018791789905707137,-0.018791789905707137,-0.018791789906364903,0.020910553399155818,0.6200652345862039,0.007886290398284288,0.0002463057288670428,0.033680948685386784,0.033680948685386784,0.033680948685386784,0.03368094868696139
44,0,0.0026882860001933295,0.2024095151812772,0.07092807411516261,0.032259646367451135,12.667177384922205,16.877269820329253,0.6047975994082213,16.877269820329253,0.024892608073046857,0.005100284185032956,7.908647148405766e-05,16.877269820329253,0.024892608073046857,0.005100284185032956,7.908647148405766e-05,-0.018146802332352774,-0.018146802332352774,-0.018146802332352774,-0.01814680233298102,0.013339208858432072,0.6047975994082213,0.0069319181224602395,0.00024811643248508745,0.03224937866771831,0.03224937866771831,0.03224937866771831,0.032249378669194084
45,0,0.00267468799938797,0.20512503097676152,0.07220626090290526,0.031153558985865984,12.634545359875782,16.877394812777354,0.5880420928277762,16.877394812777354,0.036653449929602386,0.00521985736382323,8.404923959918017e-05,16.877394812777354,0.036653449929602386,0.00521985736382323,8.404923959918017e-05,-0.017528273064995718,-0.017528273064995718,-0.017528273064995718,-0.017528273065596314,0.006249622404908383,0.5880420928277762,0.005978658939513639,0.00024813840575612555,0.03092646336785253,0.03092646336785253,0.03092646336785253,0.030926463369235473
46,0,0.002528315999370534,0.20756609309287172,0.07322851100702757,0.03008685113598642,12.596276432166983,16.877388678785582,0.5698741501075342,16.877388678785582,0.04805093293175307,0.005320437842793964,8.897667573249784e-05,16.877388678785582,0.04805093293175307,0.005320437842793964,8.897667573249784e-05,-0.0169342804291819,-0.0169342804291819,-0.0169342804291819,-0.01693428042975658,-0.00030669958840667637,0.5698741501075342,0.005029023948536717,0.00024637180666588394,0.02969963179069108,0.02969963179069108,0.02969963179069108,0.029699631791986352
47,0,0.0026223979984933976,0.20972736873539033,0.07399717361926131,0.029058013925726767,12.551314141045454,16.87726293396323,0.5503727170431856,16.87726293396323,0.059058387272616766,0.00540214788428404,9.383346295162573e-05,16.87726293396323,0.059058387272616766,0.00540214788428404,9.383346295162573e-05,-0.01636312799340301,-0.01636312799340301,-0.01636312799340301,-0.01636312799395342,-0.006287241117410599,0.5503727170431856,0.004085502074503756,0.00024283936095639445,0.028557621788944308,0.028557621788944308,0.028557621788944308,0.02855762179015809
48,0,0.002864051999495132,0.2116045657564015,0.0745153245722693,0.028065588525206422,12.498602743208238,16.87702976367698,0.5296198381381032,16.87702976367698,0.06965078403537883,0.0054651588629635465,9.8585172263798e-05,16.87702976367698,0.06965078403537883,0.0054651588629635465,9.8585172263798e-05,-0.015813319571708673,-0.015813319571708673,-0.015813319571708673,-0.015813319572236324,-0.01165851431271777,0.5296198381381032,0.0031505489339753836,0.00023758546560861276,0.027490421084716755,0.027490421084716755,0.027490421084716755,0.027490421085854973
49,0,0.002684487000806257,0.21319441967224514,0.07478673933314722,0.027108169145058005,12.437104792560099,16.876701843774313,0.5077002481158563,16.876701843774313,0.07980478899769596,0.005509690389410459,0.00010319867277764426,16.876701843774313,0.07980478899769596,0.005509690389410459,0.00010319867277764426,-0.0152835357298698,-0.0152835357298698,-0.0152835357298698,-0.01528353573037608,-0.016395995133246757,0.5077002481158563,0.002226576322345664,0.0002306750256923128,0.026489192091943888,0.026489192091943888,0.026489192091943888,0.026489192093012003
50,0,0.0026705900017987005,0.2144946782207393,0.07481586526743661,0.02618440468273257,12.365818125884715,16.876292164535936,0.48470097331465933,16.876292164535936,0.08949880846398914,0.005536009239014602,0.00010764251391534143,16.876292164535936,0.08949880846398914,0.005536009239014602,0.00010764251391534143,-0.014772612002868946,-0.014772612002868946,-0.014772612002868946,-0.014772612003355149,-0.020483961918778916,0.48470097331465933,0.001315942480207128,0.00022219205688485928,0.025546186350042598,0.025546186350042598,0.025546186350042598,0.025546186351046652
51,0,0.0025227180012734607,0.21550408352383993,0.07460779308237284,0.025292999295901775,12.283792047185337,16.875813859684758,0.4607109471152718,16.875813859684758,0.09871302740629458,0.005544428103285277,0.00011188727562243794,16.875813859684758,0.09871302740629458,0.005544428103285277,0.00011188727562243794,-0.014279518938404442,-0.014279518938404442,-0.014279518938404442,-0.01427951893887174,-0.023915242559001886,0.4607109471152718,0.0004209432135337324,0.00021223808535482513,0.024654653223225256,0.024654653223225256,0.024654653223225256,0.024654653224170257
52,0,0.0026507930015213788,0.21622235193070533,0.07416822740382907,0.02443271212658553,12.190142519629097,16.875280042148944,0.4358206416851548,16.875280042148944,0.10742944023999768,0.0055353041809087155,0.00011590588314005907,16.875280042148944,0.10742944023999768,0.0055353041809087155,0.00011590588314005907,-0.01380334400781995,-0.01380334400781995,-0.01380334400781995,-0.013803344008269422,-0.02669087679072963,0.4358206416851548,-0.00045619611882805836,0.00020093037588105584,0.02380874652922463,0.02380874652922463,0.02380874652922463,0.023808746530116012
53,0,0.00371128999904613,0.2166501516242878,0.07350345647802138,0.02360235636718002,12.084066192376422,16.8747036481329,0.4101217169018605,16.8747036481329,0.11563187457803487,0.00550903762530715,0.00011967388350374791,16.8747036481329,0.11563187457803487,0.00550903762530715,0.00011967388350374791,-0.013343275369414508,-0.013343275369414508,-0.013343275369414508,-0.01334327536984714,-0.028819700802045645,0.4101217169018605,-0.0013133277800783027,0.00018840001818444126,0.02300343192027203,0.02300343192027203,0.02300343192027203,0.023003431921114065
54,0,0.002632096999150235,0.21678907808203188,0.07262032101817219,0.02280079783020392,11.964853109700783,16.874097290894824,0.3837066862791487,16.874097290894824,0.12330600830361788,0.005466069864288187,0.00012316968151556145,16.874097290894824,0.12330600830361788,0.005466069864288187,0.00012316968151556145,-0.012898587426763424,-0.012898587426763424,-0.012898587426763424,-0.012898587427180115,-0.030317861903814927,0.3837066862791487,-0.0021483880509481808,0.0001747899005906776,0.022234397132554214,0.022234397132554214,0.022234397132554214,0.022234397133351316
55,0,0.0026156989988521673,0.21664162748800078,0.07152618223937639,0.022026953157301018,11.831897971314948,16.873473125464702,0.3566685989989445,16.873473125464702,0.13043938028359675,0.005406881805879225,0.00012637473350303837,16.873473125464702,0.13043938028359675,0.005406881805879225,0.00012637473350303837,-0.012468628094102189,-0.012468628094102189,-0.012468628094102189,-0.01246862809450376,-0.03120827150608737,0.3566685989989445,-0.002959402920447966,0.00016025259937384607,0.021497966633061746,0.021497966633061746,0.021497966633061746,0.021497966633817665
56,0,0.0027120810009364504,0.21621116819978467,0.07022888914307408,0.021279787779745003,11.684709835348942,16.872842725364322,0.3291007366954838,16.872842725364322,0.13702139501750643,0.005331991942805268,0.00012927369773241233,16.872842725364322,0.13702139501750643,0.005331991942805268,0.00012927369773241233,-0.012052807659896246,-0.012052807659896246,-0.012052807659896246,-0.012052807660283443,-0.031520005019352725,0.3291007366954838,-0.0037444931536978936,0.00014494821146869772,0.0207910217102973,0.0207910217102973,0.0207910217102973,0.02079102171101589
57,0,0.002741375999903539,0.21550191037888447,0.0687367451268644,0.02055831372224247,11.522920178612274,16.872216972212822,0.30109632339613485,16.872216972212822,0.14304332148542914,0.005241954366434019,0.000131854540885758,16.872216972212822,0.14304332148542914,0.005241954366434019,0.000131854540885758,-0.011650589126609922,-0.011650589126609922,-0.011650589126609922,-0.011650589126983434,-0.03128765757470174,0.30109632339613485,-0.004501878818562558,0.00012904215766728404,0.020110926664316103,0.020110926664316103,0.020110926664316103,0.020110926665000386
58,0,0.00248972400004277,0.2145188738979491,0.06705847400686364,0.01986158732404376,11.346289252280531,16.87160595892024,0.2727482469532545,16.87160595892024,0.14849828642449428,0.005137356699487704,0.00013410860054359025,16.87160595892024,0.14849828642449428,0.005137356699487704,0.00013410860054359025,-0.011261479897820776,-0.011261479897820776,-0.011261479897820776,-0.01126147989818123,-0.03055066462923975,0.2727482469532545,-0.005229883347315717,0.00011270298289161104,0.01945546143945736,0.01945546143945736,0.01945546143945736,0.019455461440110164
59,0,0.002667490000021644,0.21326785464230935,0.06520318554932991,0.01918870693604494,11.154710694657014,16.87101890698851,0.2441487903647284,16.87101890698851,0.15338126223178877,0.005018817955481883,0.0001360306041355808,16.87101890698851,0.15338126223178877,0.005018817955481883,0.0001360306041355808,-0.010885024681850106,-0.010885024681850106,-0.010885024681850106,-0.010885024682198083,-0.02935259658635754,0.2441487903647284,-0.0059269372002910365,9.610017959952796e-05,0.018822760798533376,0.018822760798533376,0.018822760798533376,0.018822760799157314
60,0,0.002696383999136742,0.2117553893267404,0.06318034061676837,0.01853881063948286,10.948214385867812,16.870464098257894,0.21538937154475796,16.870464098257894,0.157689049662684,0.0048869863317470095,0.00013761864533095027,16.870464098257894,0.157689049662684,0.0048869863317470095,0.00013761864533095027,-0.010520799482854193,-0.010520799482854193,-0.010520799482854193,-0.010520799483190223,-0.02774043653122619,0.21538937154475796,-0.006591581186743613,7.940205976847235e-05,0.018211259949795708,0.018211259949795708,0.018211259949795708,0.018211259950393112
