t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z
6.2190,0.020085,0.435178,-0.226830,-0.259289,-0.024089,-0.227235,0.537565,11.233459,0.533475,0.020085,0.531178,-0.091830,-0.158531,0.254692,0.000000,-0.065090,0.043952,0.000000,0.000000,0.000000,0.000000
6.2690,0.016821,0.437363,-0.226830,-0.258953,-0.023806,-0.227194,0.537334,11.184131,0.533730,0.016821,0.533363,-0.091830,-0.159551,0.254054,0.000000,-0.065433,0.043439,0.000000,0.000000,0.000000,0.000000
6.3190,0.013541,0.439522,-0.226830,-0.258694,-0.023595,-0.227397,0.537206,11.099230,0.534050,0.013541,0.535522,-0.091830,-0.160568,0.253412,0.000000,-0.065773,0.042924,0.000000,0.000000,0.000000,0.000000
6.3690,0.010244,0.441655,-0.226830,-0.258491,-0.023432,-0.227193,0.537145,11.112590,0.534410,0.010244,0.537655,-0.091830,-0.161583,0.252767,0.000000,-0.066108,0.042406,0.000000,0.000000,0.000000,0.000000
6.4190,0.006931,0.443763,-0.226830,-0.258127,-0.023101,-0.227290,0.536858,11.022759,0.534517,0.006931,0.539763,-0.091830,-0.162594,0.252117,0.000000,-0.066439,0.041886,0.000000,0.000000,0.000000,0.000000
6.4690,0.003600,0.445844,-0.226830,-0.257754,-0.022726,-0.227357,0.536529,10.930745,0.534551,0.003600,0.541844,-0.091830,-0.163603,0.251464,0.000000,-0.066766,0.041363,0.000000,0.000000,0.000000,0.000000
6.5190,0.000254,0.447899,-0.226830,-0.257544,-0.022452,-0.227035,0.536367,10.942153,0.534717,0.000254,0.543899,-0.091830,-0.164608,0.250807,0.000000,-0.067088,0.040837,0.000000,0.000000,0.000000,0.000000
6.5690,-0.003108,0.449927,-0.226830,-0.257181,-0.022106,-0.227012,0.536067,10.877623,0.534721,-0.003108,0.545927,-0.091830,-0.165611,0.250146,0.000000,-0.067407,0.040309,0.000000,0.000000,0.000000,0.000000
6.6190,-0.006487,0.451930,-0.226830,-0.256900,-0.021884,-0.227325,0.535917,10.764484,0.534840,-0.006487,0.547930,-0.091830,-0.166611,0.249481,0.000000,-0.067722,0.039778,0.000000,0.000000,0.000000,0.000000
6.6690,-0.009880,0.453905,-0.226830,-0.256555,-0.021540,-0.227214,0.535627,10.715108,0.534794,-0.009880,0.549905,-0.091830,-0.167608,0.248812,0.000000,-0.068032,0.039245,0.000000,0.000000,0.000000,0.000000
