t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale
6.2020,-0.282631,0.046475,-0.234532,-0.261069,0.037997,-0.238279,0.023470,0.558686,0.010439,-0.297921,0.097765,-0.020022,0.007663,0.003912,0.005784,-0.002024,0.015577,0.000000,0.015531,0.044437,-0.079646,2.056841,1.000000
6.2520,-0.282836,0.048033,-0.234532,-0.260131,0.039056,-0.239411,0.024898,0.273401,0.011888,-0.298274,0.100015,-0.019896,0.007491,0.004693,0.005800,-0.002073,0.015571,0.000000,0.015208,0.043135,-0.079362,2.106841,1.000000
6.3020,-0.283046,0.049590,-0.234532,-0.260264,0.039314,-0.249371,0.029065,1.895733,0.021626,-0.298253,0.102455,-0.020170,0.007449,0.005540,0.005766,-0.002122,0.015564,0.000000,0.015137,0.042505,-0.078818,2.156841,1.000000
6.3520,-0.283260,0.051146,-0.234532,-0.259432,0.039274,-0.265248,0.040648,4.854085,0.037283,-0.298372,0.104916,-0.021158,0.007359,0.006395,0.005645,-0.002171,0.015557,0.000000,0.015111,0.042229,-0.078374,2.206841,1.000000
6.4020,-0.283480,0.052701,-0.234532,-0.258192,0.039234,-0.275805,0.050242,6.816100,0.047981,-0.298684,0.106791,-0.021856,0.007201,0.007044,0.005559,-0.002220,0.015550,0.000000,0.015242,0.041295,-0.076437,2.256841,0.920191
6.4560,-0.283686,0.054132,-0.234532,-0.255584,0.038769,-0.291408,0.065274,9.745318,0.063872,-0.298928,0.108836,-0.023095,0.007251,0.006513,0.005408,-0.002084,0.014303,0.000000,0.015185,0.040731,-0.076035,2.302850,0.732477
6.5020,-0.283867,0.055361,-0.234532,-0.253372,0.037839,-0.302061,0.076139,11.696517,0.074994,-0.299020,0.110947,-0.023634,0.007616,0.004330,0.005342,-0.001687,0.011381,0.000000,0.015168,0.039804,-0.075623,2.342404,0.593106
6.5520,-0.283993,0.056209,-0.234532,-0.250242,0.037086,-0.313180,0.087695,13.099725,0.086675,-0.299202,0.112662,-0.024104,0.007858,0.002762,0.005284,-0.001382,0.009213,0.000000,0.015450,0.039234,-0.074720,2.369687,0.492877
6.6120,-0.284109,0.056974,-0.234532,-0.249298,0.036870,-0.314849,0.089815,11.820083,0.088702,-0.299559,0.113740,-0.024812,0.007954,0.001581,0.005197,-0.001160,0.007655,0.000000,0.015612,0.039151,-0.074357,2.394331,0.512985
6.6520,-0.284255,0.057930,-0.234532,-0.249830,0.035822,-0.312586,0.088127,10.039674,0.086837,-0.299772,0.115285,-0.025467,0.007817,0.002432,0.005117,-0.001223,0.007965,0.000000,0.015386,0.037480,-0.073367,2.425110,0.531628
6.7040,-0.284356,0.058590,-0.234532,-0.249895,0.034497,-0.311098,0.087352,8.510199,0.085858,-0.299742,0.117111,-0.026165,0.007772,0.003358,0.005032,-0.001279,0.008252,0.000000,0.015378,0.036432,-0.072810,2.446375,0.541424
6.7520,-0.284493,0.059464,-0.234532,-0.249714,0.032616,-0.309741,0.087102,6.433255,0.085303,-0.299921,0.119613,-0.026897,0.007671,0.004384,0.004942,-0.001317,0.008402,0.000000,0.015481,0.035465,-0.072537,2.474529,0.546968
6.8020,-0.284621,0.060279,-0.234532,-0.249858,0.030981,-0.308977,0.087229,5.058328,0.085231,-0.300222,0.121446,-0.027253,0.007538,0.005109,0.004898,-0.001344,0.008486,0.000000,0.015705,0.034436,-0.072050,2.500783,0.547685
6.8520,-0.284756,0.061129,-0.234532,-0.250620,0.028128,-0.307985,0.087463,3.088472,0.085283,-0.300655,0.123678,-0.027875,0.007370,0.005899,0.004822,-0.001361,0.008495,0.000000,0.015693,0.031935,-0.071121,2.528168,0.547171
6.9020,-0.284893,0.061977,-0.234532,-0.251803,0.025359,-0.306656,0.087394,1.605980,0.085088,-0.300586,0.126043,-0.028411,0.007381,0.006717,0.004756,-0.001374,0.008484,0.000000,0.015609,0.030636,-0.070452,2.555526,0.549118
6.9520,-0.285032,0.062829,-0.234532,-0.252690,0.022959,-0.304270,0.086596,0.627720,0.084025,-0.300640,0.128193,-0.029080,0.007342,0.007497,0.004674,-0.001394,0.008512,0.000000,0.015614,0.028505,-0.069127,2.582982,0.559751
7.0100,-0.285175,0.063696,-0.234532,-0.252687,0.022471,-0.302186,0.085627,2.822719,0.082726,-0.300788,0.131191,-0.030405,0.007248,0.008709,0.004512,-0.001436,0.008674,0.000000,0.015622,0.027962,-0.068258,2.610970,0.572745
7.0520,-0.285346,0.064726,-0.234532,-0.252341,0.022628,-0.300054,0.084586,4.274117,0.081267,-0.300950,0.133249,-0.031863,0.007140,0.009627,0.004334,-0.001488,0.008873,0.000000,0.015484,0.026593,-0.066770,2.644189,0.587326
7.1030,-0.285475,0.065490,-0.234532,-0.251695,0.022419,-0.297086,0.083121,5.973812,0.079169,-0.300774,0.136344,-0.034341,0.007150,0.010934,0.004030,-0.001540,0.009096,0.000000,0.015299,0.025145,-0.065190,2.668857,0.608312
7.1520,-0.285638,0.066451,-0.234532,-0.251265,0.021177,-0.296452,0.084055,6.280525,0.079696,-0.300866,0.138854,-0.035666,0.007044,0.012134,0.003868,-0.001613,0.009418,0.000000,0.015530,0.021701,-0.062357,2.699880,0.603041
7.2020,-0.285796,0.067365,-0.234532,-0.250769,0.019175,-0.295172,0.085008,6.532950,0.080064,-0.301326,0.141664,-0.037175,0.006880,0.013033,0.003683,-0.001617,0.009334,0.000000,0.016024,0.019280,-0.060569,2.729429,0.599358
7.2520,-0.285958,0.068293,-0.234532,-0.250299,0.014485,-0.292446,0.086723,6.789545,0.080744,-0.302157,0.146144,-0.039879,0.006581,0.014541,0.003352,-0.001624,0.009274,0.000000,0.016620,0.014971,-0.057972,2.759397,0.592556
7.3020,-0.286119,0.069210,-0.234532,-0.250024,0.010689,-0.290613,0.088728,6.891802,0.081955,-0.302739,0.150238,-0.041560,0.006379,0.015866,0.003146,-0.001623,0.009165,0.000000,0.018306,0.008935,-0.055477,2.789025,0.580454
7.3520,-0.286279,0.070107,-0.234532,-0.248596,0.003393,-0.288065,0.093470,6.994494,0.085095,-0.304585,0.157172,-0.044055,0.005749,0.018103,0.002840,-0.001606,0.008975,0.000000,0.018787,0.007242,-0.054843,2.818048,0.549046
7.4020,-0.286431,0.070956,-0.234532,-0.247130,-0.001580,-0.286846,0.097687,7.045148,0.088075,-0.306309,0.162328,-0.045284,0.005218,0.019419,0.002689,-0.001534,0.008487,0.000000,0.022002,-0.000014,-0.053209,2.845500,0.519252
7.4520,-0.286577,0.071759,-0.234532,-0.244424,-0.008854,-0.285252,0.104153,7.150458,0.092559,-0.309311,0.169523,-0.046791,0.004238,0.021474,0.002505,-0.001464,0.008024,0.000000,0.023888,-0.004257,-0.051898,2.871463,0.474408
7.5030,-0.286711,0.072492,-0.234532,-0.242501,-0.013657,-0.283737,0.108615,7.189535,0.095499,-0.311463,0.174521,-0.048278,0.003600,0.022529,0.002323,-0.001348,0.007329,0.000000,0.027873,-0.011668,-0.049314,2.895183,0.445012
7.5520,-0.286841,0.073193,-0.234532,-0.238276,-0.021848,-0.281039,0.116423,7.329519,0.100263,-0.315874,0.182861,-0.050813,0.002130,0.024992,0.002012,-0.001274,0.006873,0.000000,0.030209,-0.015741,-0.048262,2.917879,0.396159
7.6020,-0.286952,0.073792,-0.234532,-0.235230,-0.027514,-0.279725,0.122395,7.448696,0.104132,-0.319087,0.188780,-0.051900,0.001138,0.026307,0.001879,-0.001142,0.006117,0.000000,0.035344,-0.024753,-0.046625,2.937291,0.341864
7.6520,-0.287051,0.074320,-0.234532,-0.230987,-0.035879,-0.278078,0.131085,7.588950,0.109912,-0.323534,0.197136,-0.053213,-0.000268,0.028393,0.001718,-0.000991,0.005278,0.000000,0.038993,-0.031356,-0.046094,2.954384,0.262866
7.7020,-0.287128,0.074726,-0.234532,-0.228696,-0.040881,-0.277271,0.136403,7.768657,0.113634,-0.326121,0.202082,-0.053438,-0.000947,0.028904,0.001691,-0.000765,0.004058,0.000000,0.040937,-0.034242,-0.046338,2.967527,0.214517
7.7520,-0.287190,0.075057,-0.234532,-0.222768,-0.050161,-0.280197,0.148037,7.402650,0.122624,-0.331458,0.210686,-0.052693,-0.002677,0.031168,0.001782,-0.000627,0.003311,0.000000,0.047571,-0.045738,-0.047551,2.978253,0.108752
7.8020,-0.287222,0.075225,-0.234532,-0.219560,-0.056774,-0.280730,0.155358,7.484650,0.128188,-0.334793,0.216962,-0.051981,-0.003536,0.031732,0.001869,-0.000318,0.001678,0.000000,0.052298,-0.055045,-0.049153,2.983691,0.042199
7.8520,-0.287234,0.075290,-0.234532,-0.214975,-0.066807,-0.282024,0.166339,7.657209,0.136806,-0.339532,0.226335,-0.050379,-0.005000,0.033986,0.002065,-0.000124,0.000651,0.000000,0.054530,-0.059868,-0.050909,2.985800,0.000000
7.9020,-0.287234,0.075290,-0.234532,-0.212766,-0.072033,-0.283643,0.172225,7.764355,0.141812,-0.341764,0.231158,-0.048623,-0.005657,0.035023,0.002280,-0.000000,0.000000,0.000000,0.057282,-0.065432,-0.052752,2.985800,0.000000
7.9520,-0.287234,0.075290,-0.234532,-0.208220,-0.082193,-0.285892,0.183527,7.947961,0.151031,-0.346436,0.240426,-0.046164,-0.007292,0.038266,0.002582,-0.000000,0.000000,0.000000,0.060576,-0.071781,-0.053641,2.985800,0.000000
8.0020,-0.287234,0.075290,-0.234532,-0.204799,-0.089692,-0.286260,0.191547,8.064418,0.157140,-0.349938,0.247341,-0.045673,-0.008518,0.040687,0.002642,-0.000000,0.000000,0.000000,0.066389,-0.083907,-0.053964,2.985800,0.000000
8.0520,-0.287234,0.075290,-0.234532,-0.200144,-0.100897,-0.286499,0.203291,8.171547,0.166195,-0.354621,0.257770,-0.045470,-0.010157,0.044337,0.002667,-0.000000,0.000000,0.000000,0.069106,-0.091619,-0.053941,2.985800,0.000000
8.1020,-0.287234,0.075290,-0.234532,-0.198451,-0.106530,-0.286306,0.208857,8.302348,0.170680,-0.356341,0.262909,-0.045591,-0.010759,0.046135,0.002652,-0.000000,0.000000,0.000000,0.070591,-0.095208,-0.053283,2.985800,0.000000
8.1520,-0.287234,0.075290,-0.234532,-0.193839,-0.117525,-0.284015,0.219884,8.432026,0.178388,-0.360886,0.273396,-0.047893,-0.012350,0.049806,0.002370,-0.000000,0.000000,0.000000,0.077080,-0.109838,-0.049754,2.985800,0.000000
8.2020,-0.287234,0.075290,-0.234532,-0.190333,-0.125790,-0.282189,0.228241,8.555650,0.184202,-0.364314,0.281128,-0.049778,-0.013550,0.052512,0.002139,-0.000000,0.000000,0.000000,0.080969,-0.118421,-0.047205,2.985800,0.000000
