stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,false_valid
282.921000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
282.921000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
283.122000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
283.122000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
283.321000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
283.321000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
283.521000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
283.521000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
283.755000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
283.755000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
283.988000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
283.988000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
